new_id,id,product_name,segment,family,class,brick
14,27,PEPPERIDGE FARM BREAD MULTIGRAIN,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
15,28,PEPPERIDGE FARM BREAD OLIVE BATARD,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
16,29,PEPPERIDGE FARM BREAD CHEESE,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
17,30,PEPPERIDGE FARM CRACKERS CHEDDAR,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
18,31,PEPPERIDGE FARM COOKIES,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
19,33,PEPPERIDGE FARM BREAD CIABATTA,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
20,34,PEPPERIDGE FARM COOKIES,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
21,36,PEPPERIDGE FARM PASTRY CHERRY,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Cakes/Pastries (Perishable)
22,37,PEPPERIDGE FARM COOKIES,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
23,38,PEPPERIDGE FARM BREAD GARLIC,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
24,39,PEPPERIDGE FARM COOKIES SMORES,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
25,41,PEPPERIDGE FARM BREAD,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
26,42,PEPPERIDGE FARM COOKIES STRAWBERRY,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
27,43,PEPPERIDGE FARM COOKIES PEPPERMINT,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
28,45,PEPPERIDGE FARM BREAD SESAME,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
29,46,PEPPERIDGE FARM BREAD CIABATTA,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
30,47,PEPPERIDGE FARM COOKIES,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
31,50,PEPPERIDGE FARM BREAD WHITE BATARD,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
32,51,PEPPERIDGE FARM BREAD EUROPEAN BAGUETTE,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
33,53,PEPPERIDGE FARM CRACKERS,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
34,54,PEPPERIDGE FARM COOKIES MILANO,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
35,115,CAMPBELL'S SOUP CHICKEN & DUMPLING,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
36,116,CAMPBELL'S CHUNKY SOUP BEEF VEGETABLE,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
37,162,PEPPERIDGE FARM CRACKERS CHEDDAR JACK,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
38,163,PEPPERIDGE FARM COOKIES BUTTER PECAN,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
39,188,"ORIGINAL REAL VEGETABLE CHIPS, ORIGINAL",Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
40,207,"OATMEAL RAISIN WITH WALNUTS SOFTBAKED COOKIES, OATMEAL RAISIN WITH WALNUTS",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
41,212,"WHEAT SUB ROLLS, WHEAT SUB",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
42,222,"ORIGINAL CHOCOLATE CHIP COOKIES, ORIGINAL CHOCOLATE CHIP",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
43,229,"72% COCOA CREME FILLED DARK CHOCOLATE, RASPBERRY ORANGE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
44,230,"EL MEXICANO, SALSA VERDE, MEXICAN GREEN SAUCE",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable)
45,237,"CHOCO MINT CHIP PREMIUM ICE CREAM, CHOCO MINT CHIP",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Ice Cream/Frozen Desserts (Frozen)
46,262,"ORGANIC MORNING SUPERGRAIN SMOOTHIE, PEAR PINEAPPLE",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink
47,263,"MORNING MULTILINGUAL CRUNCH BITES, PURPLE BERRY & CARROT",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
48,268,"TRI-COLOR PASTA 100% SEMOLINA PLAIN, SUNDRIED TOMATO & SPINACH",Food/Beverage,Cereal/Grain/Pulse Products,Pasta/Noodles,Pasta/Noodles - Unprepared/Unprocessed (Shelf Stable)
49,270,"CINNA-APPLE WALNUT INSTANT HOT CEREAL, CINNA-APPLE WALNUT",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
50,272,"BROWN SUGAR AND MAPLE WITH FLAX & CHIA GLUTEN FREE OATMEAL, BROWN SUGAR AND MAPLE",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
51,281,"TACO SEASONING MIX, TACO",Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Seasonings/Marinades - Prepared/Processed
52,285,SWEET MULTIGRAIN ROLLS,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
53,289,GUMMY BRITEWORMS,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
54,290,GUMMY BEARS,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
55,291,GUMMY WATERMELON RINGS,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
56,11816,"GEMS, MILK CHOCOLATE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
57,11835,"CARAMELS FLAVORED MILK MAID CANDY, CARAMELS",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
58,11838,"TOMATO JUICE FROM CONCENTRATE, TOMATO",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink
59,11846,"GLUTEN FREE PASTA, FUSILLI NO. 48",Food/Beverage,Cereal/Grain/Pulse Products,Pasta/Noodles,Pasta/Noodles - Unprepared/Unprocessed (Shelf Stable)
60,11888,"BLUEBERRY YOGURT, TOASTED ALMOND BITS, ROLLED OATS & CHIA SEEDS, BLUEBERRY",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt (Perishable)
61,11898,DICED JALAPENOS,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
62,11907,"GOLDEN SESAME OLD FASHIONED HAMBURGER BUNS, GOLDEN SESAME",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
63,11914,"WHITE GRAPE PEACH FLAVORED JUICE COCKTAIL BLEND FROM CONCENTRATE, WHITE GRAPE PEACH",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink
64,11915,"ORIGINAL TARTAR SAUCE, ORIGINAL",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable)
65,11916,"100% ORANGE JUICE FROM CONCENTRATE, ORANGE",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink
66,11917,"SPROUTED 7 WHOLE GRAINS REDUCED SODIUM BREAD, 7 WHOLE GRAINS",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
67,11918,"SPROUTED 7 WHOLE GRAINS BREAD, 7 WHOLE GRAINS",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
68,11919,"SPROUTED WHOLE GRAINS DINNER ROLLS, SPROUTED WHOLE GRAINS",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
69,11920,"SPROUTED 7 WHOLE GRAINS RYE BREAD, 7 WHOLE GRAINS RYE",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
70,11922,"SEVEN-GRAIN BAGUETTE SPROUTED BREAD, SEVEN-GRAIN BAGUETTE",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
71,11927,"ORIGINAL MIXED-UP SALT MARINADE & SEASONING, ORIGINAL",Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Seasonings/Marinades - Prepared/Processed
72,11928,"BARBECUE RUB, BARBECUE",Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Seasonings/Marinades - Prepared/Processed
73,11932,"HONEY HICKORY FLAVORED RUB, HONEY HICKORY",Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Seasonings/Marinades - Prepared/Processed
74,11940,"ALMOND NUT CLUSTERS SNACK BITES, ALMOND NUT CLUSTERS",Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Nuts/Seeds - Prepared/Processed,Nuts/Seeds - Prepared/Processed (Shelf Stable)
75,11944,"MANGO STRAWBERRY ALMOND RICE STICKS SNACK BITES, MANGO STRAWBERRY ALMOND RICE STICKS",Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Nuts/Seeds - Prepared/Processed,Nuts/Seeds - Prepared/Processed (Shelf Stable)
76,11945,"ALMOND RICE STICKS WITH SEAWEED SNACK BITES, ALMOND RICE STICKS WITH SEAWEED",Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Nuts/Seeds - Prepared/Processed,Nuts/Seeds - Prepared/Processed (Shelf Stable)
77,11948,"COFFEE CAKE VEGAN POUND CAKE, COFFEE CAKE",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Cakes/Pastries (Perishable)
78,11957,PEANUT BRITTLE CRUNCH,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
79,11973,"VANILLA & ALMONDS WHOLE GRAIN OAT CLUSTERS WITH SLICED ALMONDS & HONEY GRANOLA, VANILLA & ALMONDS",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
80,11977,"WHOLE WHEAT ORGANIC PASTA, RIGATONI",Food/Beverage,Cereal/Grain/Pulse Products,Pasta/Noodles,Pasta/Noodles - Unprepared/Unprocessed (Shelf Stable)
81,11981,"GARDEN SALSA, GARDEN",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable)
82,12002,"MULTIGRAIN PUFFINS CEREAL, MULTIGRAIN",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
83,12004,"TOASTED COCONUT FLAVORED ALMONDS, TOASTED COCONUT",Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Nuts/Seeds - Prepared/Processed,Nuts/Seeds - Prepared/Processed (Shelf Stable)
84,12018,"GRAINS WITH CHIA BREAD, GRAINS WITH CHIA",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
85,12043,"SEASONAL APPLE CINNAMON SPONGE CAKES WITH JELLY FILLING, SEASONAL APPLE CINNAMON",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Cakes/Pastries (Perishable)
86,12045,"BERRY COLOSSAL CRUNCH CEREAL, BERRY COLOSSAL CRUNCH",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
87,12049,"RICH FROSTED DONUTS, RICH FROSTED",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Cakes/Pastries (Perishable)
88,12051,"COOKIES & CREAM GRANOLA BARS, COOKIES & CREAM",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Cereal/Granola Bars
89,12052,"MAPLE PECAN RAISIN SUPER GRAINS MULTIGRAIN OATMEAL + PLUMP RAISINS, CHOPPED PECANS, CRANBERRIES, MAPLE FLAVOR, QUINOA AND FLAXSEED, MAPLE PECAN RAISIN",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
90,12056,"EVERYTHING REAL JEWISH RYE BREAD, EVERYTHING",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
91,12062,"CINNAMON OATMEAL SQUARES CRUNCHY OAT CEREAL, CINNAMON",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
92,12066,SALT,Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Seasonings/Marinades - Prepared/Processed
93,12068,"FISHERMAN'S WHARF STYLE EXTRA SOURDOUGH BREAD, FISHERMAN'S WHARF STYLE",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
94,12077,"SWEET AND SOUR MYSTERY MIX, MYSTERIOUS, GREEN APPLE, SOUR LEMON",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
95,12078,"CHOCOLATE TRUFFLES, CHOCOLATE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
96,12079,"GREEN APPLE, LEMON & STRAWBERRY CANDY CANES, GREEN APPLE, LEMON & STRAWBERRY",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
97,12084,"100% GRAPEFRUIT COLD PRESSED JUICE, GRAPEFRUIT",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink
98,12089,"CRUNCHY CINNAMON SQUARES, CRUNCHY CINNAMON",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
99,12092,"CHOCOLATE CHIP COOKIES, CHOCOLATE CHIP",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
100,12095,"ORGANIC RIP'S POWER-UP BOWL DOUBLE BERRY HOT CEREAL, BERRY",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
101,12096,PINK SNOWBALLS SNACK CAKES,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Cakes/Pastries (Perishable)
102,12099,"CHOCOLATE LOWFAT MILK, CHOCOLATE",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk - Liquid (Perishable)
103,12101,"100% ORANGE JUICE, ORANGE",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink
104,12105,"OATS & FLAX GINGER SNAP INSTANT OATMEAL, OATS & FLAX GINGER SNAP",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
105,12108,"OLD-FASHIONED ROLLED OATS, OLD-FASHIONED",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
106,12111,"CRUMB CAKES, RASPBERRY",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Cakes/Pastries (Perishable)
107,12117,"MILK CHOCOLATE, DARK CHOCOLATE, CARAMEL & MILK CHOCOLATE SILKY SMOOTH PROMISES GIFTS, MILK CHOCOLATE, DARK CHOCOLATE, CARAMEL & MILK CHOCOLATE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
108,12124,"LIMONATA SPARKLING LEMON BEVERAGE WITH 16% LEMON JUICE FROM CONCENTRATE WITH MINT EXTRACT, LIMONATA",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Soft Drinks - Ready to Drink
109,12128,"LARGE WHITE BREAD, LARGE WHITE",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
110,12129,"SANTA CRUZ SOURDOUGH TWIN PACK ROUND BREAD LOAVES, SANTA CRUZ SOURDOUGH",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
111,12132,"ORGANIC RIP'S POWER-UP BOWL ORIGINAL HOT CEREAL, ORIGINAL",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
112,12137,"THICK & CHUNKY MEDIUM SALSA, MEDIUM",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable)
113,12139,"VANILLA BEAN ICE CREAM, VANILLA BEAN",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Ice Cream/Frozen Desserts (Frozen)
114,12150,"SPARKLING WATER WITH CHERRY ESSENCE, CHERRY",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Water - Ready to Drink
115,12155,"MAPLE INSTANT! OATMEAL, MAPLE",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
116,12175,"PRUNE 100% JUICE, PRUNE",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink
117,12177,"LAVENDER SHORTBREAD, LAVENDER",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
118,12181,"CAFFEINE FREE GRAPE SODA, GRAPE",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Soft Drinks - Ready to Drink
119,12182,"DR. WOW, SODA",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Soft Drinks - Ready to Drink
120,12185,"CHERRY PUNCH SOFT & CHEWY ROPES CANDY, CHERRY PUNCH",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
121,12189,"CHERRY, RASPBERRY, WATERMELON, ORANGE, PINEAPPLE HARD CANDY, CHERRY, RASPBERRY, WATERMELON, ORANGE, PINEAPPLE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
122,12198,"WHEAT DINNER ROLLS, WHEAT",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
123,12210,"ENERGY BLEND EDAMAME, FLAVOR INFUSED CRANBERRIES, ALMONDS & PUMPKIN SEEDS, ENERGY BLEND",Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Nuts/Seeds - Prepared/Processed,Nuts/Seeds - Prepared/Processed (Shelf Stable)
124,12223,"ENRICHED MACARONI PRODUCT, BOW TIES",Food/Beverage,Cereal/Grain/Pulse Products,Pasta/Noodles,Pasta/Noodles - Unprepared/Unprocessed (Shelf Stable)
125,12226,ORGANIC EDAMAME SPAGHETTI,Food/Beverage,Cereal/Grain/Pulse Products,Pasta/Noodles,Pasta/Noodles - Unprepared/Unprocessed (Shelf Stable)
126,12227,ORGANIC EDAMAME FETTUCCINE,Food/Beverage,Cereal/Grain/Pulse Products,Pasta/Noodles,Pasta/Noodles - Unprepared/Unprocessed (Shelf Stable)
127,12239,"THE ORIGINAL CAKE, CINNAMON CRUMBLE",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Cakes/Pastries (Perishable)
128,12255,"DR. ZEVIA ZERO CALORIE SODA, DR. ZEVIA",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Soft Drinks - Ready to Drink
129,12270,"BLACK CHERRY CAFFEINE FREE ZERO CALORIE SODA, BLACK CHERRY",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Soft Drinks - Ready to Drink
130,12272,"RASPBERRY LIME ZERO CALORIE ENERGY DRINK, RASPBERRY LIME",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Soft Drinks - Ready to Drink
131,12277,"GRAPEFRUIT ZERO CALORIE ENERGY DRINK, GRAPEFRUIT",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Soft Drinks - Ready to Drink
132,12279,"COLA CAFFEINE FREE ZERO CALORIE SODA, COLA",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Soft Drinks - Ready to Drink
133,12291,"PEANUT BUTTER CHOCOLATE CHIP FLAVORED CHEWY GRANOLA BARS, PEANUT BUTTER CHOCOLATE CHIP",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Cereal/Granola Bars
134,12293,"OATS & HONEY CRUNCHY GRANOLA BARS, OATS & HONEY",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Cereal/Granola Bars
135,12299,"MEDIUM PICO DE GALLO SALSA, MEDIUM PICO DE GALLO",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable)
136,12306,PENNE,Food/Beverage,Cereal/Grain/Pulse Products,Pasta/Noodles,Pasta/Noodles - Unprepared/Unprocessed (Shelf Stable)
137,12316,"CAJUN SHAKE SEASONING, CAJUN SHAKE",Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Seasonings/Marinades - Prepared/Processed
138,12317,"HONEY BACON BBQ INJECTABLE MARINADE, HONEY BACON BBQ",Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Seasonings/Marinades - Prepared/Processed
139,12318,"TERIYAKI FUSION INJECTABLE MARINADE, TERIYAKI FUSION",Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Seasonings/Marinades - Prepared/Processed
140,12319,LINGUINE,Food/Beverage,Cereal/Grain/Pulse Products,Pasta/Noodles,Pasta/Noodles - Unprepared/Unprocessed (Shelf Stable)
141,12321,"GREEN & YELLOW PASTA, TAGLIATELLE",Food/Beverage,Cereal/Grain/Pulse Products,Pasta/Noodles,Pasta/Noodles - Unprepared/Unprocessed (Shelf Stable)
142,12322,PAPPARDELLE,Food/Beverage,Cereal/Grain/Pulse Products,Pasta/Noodles,Pasta/Noodles - Unprepared/Unprocessed (Shelf Stable)
143,12330,"PREMIUM APPLE JUICE, APPLE",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink
144,12344,"SEA SALT PURE MILK CHOCOLATE, SEA SALT",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
145,12348,"STRAWBERRY FRUIT CHEWS, STRAWBERRY",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
146,12360,"ORIGINAL VEGAN POUND CAKE, ORIGINAL",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Cakes/Pastries (Perishable)
147,12366,"ORANGE PASSION FRUIT FLAVORED SPARKLING WATER, ORANGE PASSION FRUIT",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Water - Ready to Drink
148,12367,"MILK CHOCOLATE TRUFFLES, MILK CHOCOLATE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
149,12368,"DARK CHOCOLATE TRUFFLES, DARK CHOCOLATE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
150,12371,"100% MANGO NECTAR JUICE BLEND OF MANGO PUREE AND APPLE JUICE CONCENTRATE WITH ADDED INGREDIENTS, MANGO NECTAR",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink
