new_id,id,product_name,original_segment,original_family,original_class,original_brick,predicted_segment,predicted_family,predicted_class,predicted_brick,segment_match,family_match,class_match,brick_match,all_levels_match
37,42,PEPPERIDGE FARM COOKIES STRAWBERRY,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),True,True,True,True,True
38,43,PEPPERIDGE FARM COOKIES PEPPERMINT,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),True,True,True,True,True
39,44,SWANSON BROTH BEEF-LOW SODIUM,Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Herbs/Spices - Dried,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable),True,False,False,False,False
40,45,PEPPERIDGE FARM BREAD SESAME,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable),True,True,True,True,True
41,46,PEPPERIDGE FARM BREAD CIABATTA,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable),True,True,True,True,True
42,47,PEPPERIDGE FARM COOKIES,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),True,True,True,True,True
43,48,SWANSON BROTH VEGETABLE,Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Herbs/Spices - Dried,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable),True,False,False,False,False
44,50,PEPPERIDGE FARM BREAD WHITE BATARD,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable),True,True,True,True,True
45,51,PEPPERIDGE FARM BREAD EUROPEAN BAGUETTE,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable),True,True,True,True,True
46,52,BUSH'S Organic Pinto Beans 110 oz,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable),Food/Beverage,Cereal/Grain/Pulse Products,Pulses/Legumes,Pulses/Legumes - Unprepared/Unprocessed (Shelf Stable),True,False,False,False,False
47,53,PEPPERIDGE FARM CRACKERS,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),True,True,True,True,True
48,54,PEPPERIDGE FARM COOKIES MILANO,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),True,True,True,True,True
49,55,BUSH'S BEST Easy Entrees Texas Ranchero 108 oz,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable),Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable),True,False,False,False,False
50,115,CAMPBELL'S SOUP CHICKEN & DUMPLING,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable),Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable),True,True,True,True,True
51,116,CAMPBELL'S CHUNKY SOUP BEEF VEGETABLE,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable),Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable),True,True,True,True,True
52,162,PEPPERIDGE FARM CRACKERS CHEDDAR JACK,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),True,True,True,True,True
53,163,PEPPERIDGE FARM COOKIES BUTTER PECAN,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),True,True,True,True,True
54,177,PEPPERIDGE FARM COOKIES DARK CHOCOLATE,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate,True,False,False,False,False
55,181,CHOCOLATE CHIP COOKIES,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate,True,False,False,False,False
56,183,WALNUT HALVES & PIECES,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Nuts/Seeds - Prepared/Processed,Nuts/Seeds - Prepared/Processed (Shelf Stable),Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (Perishable),Tree Nuts,Tree Nuts - Unprepared/Unprocessed (Perishable),True,False,False,False,False
57,188,"ORIGINAL REAL VEGETABLE CHIPS, ORIGINAL",Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable),Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable),True,True,True,True,True
58,189,MULTI-GRAIN TORTILLA CHIPS,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable),Food/Beverage,Cereal/Grain/Pulse Products,None of the provided categories are appropriate for MULTI-GRAIN TORTILLA CHIPS.,,True,False,False,False,False
59,193,"ORIGINAL CREAM CHEESE, ORIGINAL",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese - Hard (Perishable),Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,,True,True,False,False,False
60,207,"OATMEAL RAISIN WITH WALNUTS SOFTBAKED COOKIES, OATMEAL RAISIN WITH WALNUTS",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),True,True,True,True,True
61,208,"FIG BARS, FIG",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Cereal/Granola Bars,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable),True,False,False,False,False
62,209,"SOUR CREAM & ONION POTATO CHIPS, SOUR CREAM & ONION",Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable),Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable),True,False,False,False,False
63,212,"WHEAT SUB ROLLS, WHEAT SUB",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable),True,True,True,True,True
64,213,GARDEN VEGETABLE DIP MIX,Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Seasonings/Marinades - Prepared/Processed,Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Herbs/Spices - Dried,True,True,True,False,False
65,216,THE GOOD HEALTH CHEESE ALTERNATIVE,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese - Hard (Perishable),Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Substitutes,,True,True,False,False,False
66,218,BAKED PRETZEL RODS,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),True,False,False,False,False
67,221,"FUDGE PEANUT BUTTER FILLED COOKIES, FUDGE PEANUT BUTTER",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate,True,False,False,False,False
68,222,"ORIGINAL CHOCOLATE CHIP COOKIES, ORIGINAL CHOCOLATE CHIP",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),True,True,True,True,True
69,223,"HAVARTI CHEESE, HAVARTI",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese - Hard (Perishable),Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,,True,True,False,False,False
70,224,"MEDIUM SALSA CON QUESO, MEDIUM",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese - Hard (Perishable),Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable),True,False,False,False,False
71,225,"GEORGIA MUSTARD BBQ SAUCE, GEORGIA MUSTARD",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable),Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Seasonings/Marinades - Prepared/Processed,True,False,False,False,False
72,229,"72% COCOA CREME FILLED DARK CHOCOLATE, RASPBERRY ORANGE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate,True,True,True,True,True
73,230,"EL MEXICANO, SALSA VERDE, MEXICAN GREEN SAUCE",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable),Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable),True,True,True,True,True
74,232,"BROWNIE BLAST VANILLA FROZEN DAIRY DESSERT SWIRLED WITH BROWNIES & FUDGE, BROWNIE BLAST",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Ice Cream/Frozen Desserts (Frozen),Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Frozen),True,False,False,False,False
75,233,"FRUIT & OATMEAL, PEACHES &VANILLA WALNUT",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat,Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Perishable),True,False,False,False,False
76,235,"DARK CHOCOLATE CREME FILLED WAFERS, DARK CHOCOLATE",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable),Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate,True,False,False,False,False
77,237,"CHOCO MINT CHIP PREMIUM ICE CREAM, CHOCO MINT CHIP",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Ice Cream/Frozen Desserts (Frozen),Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Ice Cream/Frozen Desserts (Frozen),True,True,True,True,True
78,244,"STUFF'D """"ORIGINAL"""" MOOSE TRACKS FROZEN DAIRY DESSERT, """"ORIGINAL"""" MOOSE TRACKS",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Ice Cream/Frozen Desserts (Frozen),Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Frozen),True,False,False,False,False
79,246,FRESCO CHEESE,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese - Hard (Perishable),Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,,True,True,False,False,False
80,247,QUESO FRESCO CHEESE,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese - Hard (Perishable),Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,,True,True,False,False,False
81,248,"NONFAT YOGURT, STRAWBERRY",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt (Perishable),Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurts,,True,True,False,False,False
82,261,"ORGANIC MORNING FRUIT & NUT GRANOLA MIX, PURPLE BERRY RAISIN",Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Nuts/Seeds - Prepared/Processed,Nuts/Seeds - Prepared/Processed (Shelf Stable),Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat,True,False,False,False,False
83,262,"ORGANIC MORNING SUPERGRAIN SMOOTHIE, PEAR PINEAPPLE",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink,Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink,True,True,True,True,True
84,263,"MORNING MULTILINGUAL CRUNCH BITES, PURPLE BERRY & CARROT",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat,Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat,True,True,True,True,True
85,266,"COLBY-JACK NATURAL CHEESE CUBES SNACKS, COLBY-JACK",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese - Hard (Perishable),Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,,True,True,False,False,False
86,268,"TRI-COLOR PASTA 100% SEMOLINA PLAIN, SUNDRIED TOMATO & SPINACH",Food/Beverage,Cereal/Grain/Pulse Products,Pasta/Noodles,Pasta/Noodles - Unprepared/Unprocessed (Shelf Stable),Food/Beverage,Cereal/Grain/Pulse Products,Pasta/Noodles,Pasta/Noodles - Unprepared/Unprocessed (Shelf Stable),True,True,True,True,True
87,269,LARGE CURD COTTAGE CHEESE,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese - Hard (Perishable),Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,,True,True,False,False,False
88,270,"CINNA-APPLE WALNUT INSTANT HOT CEREAL, CINNA-APPLE WALNUT",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat,Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat,True,True,True,True,True
