new_id,id,product_name,predicted_segment,predicted_family,predicted_class,predicted_brick
69,223,"HAVARTI CHEESE, HAVARTI",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,
70,224,"MEDIUM SALSA CON QUESO, MEDIUM",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable)
71,225,"GEORGIA MUSTARD BBQ SAUCE, GEORGIA MUSTARD",Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Seasonings/Marinades - Prepared/Processed
72,229,"72% COCOA CREME FILLED DARK CHOCOLATE, RASPBERRY ORANGE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
73,230,"EL MEXICANO, SALSA VERDE, MEXICAN GREEN SAUCE",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable)
74,232,"BROWNIE BLAST VANILLA FROZEN DAIRY DESSERT SWIRLED WITH BROWNIES & FUDGE, BROWNIE BLAST",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Frozen)
75,233,"FRUIT & OATMEAL, PEACHES &VANILLA WALNUT",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Perishable)
76,235,"DARK CHOCOLATE CREME FILLED WAFERS, DARK CHOCOLATE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
77,237,"CHOCO MINT CHIP PREMIUM ICE CREAM, CHOCO MINT CHIP",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Ice Cream/Frozen Desserts (Frozen)
78,244,"STUFF'D """"ORIGINAL"""" MOOSE TRACKS FROZEN DAIRY DESSERT, """"ORIGINAL"""" MOOSE TRACKS",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Frozen)
79,246,FRESCO CHEESE,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,
80,247,QUESO FRESCO CHEESE,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,
81,248,"NONFAT YOGURT, STRAWBERRY",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurts,
82,261,"ORGANIC MORNING FRUIT & NUT GRANOLA MIX, PURPLE BERRY RAISIN",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
83,262,"ORGANIC MORNING SUPERGRAIN SMOOTHIE, PEAR PINEAPPLE",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink
84,263,"MORNING MULTILINGUAL CRUNCH BITES, PURPLE BERRY & CARROT",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
85,266,"COLBY-JACK NATURAL CHEESE CUBES SNACKS, COLBY-JACK",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,
86,268,"TRI-COLOR PASTA 100% SEMOLINA PLAIN, SUNDRIED TOMATO & SPINACH",Food/Beverage,Cereal/Grain/Pulse Products,Pasta/Noodles,Pasta/Noodles - Unprepared/Unprocessed (Shelf Stable)
87,269,LARGE CURD COTTAGE CHEESE,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,
88,270,"CINNA-APPLE WALNUT INSTANT HOT CEREAL, CINNA-APPLE WALNUT",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
89,271,"VANILLA WHOLE MILK YOGURT, VANILLA",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurts,
90,272,"BROWN SUGAR AND MAPLE WITH FLAX & CHIA GLUTEN FREE OATMEAL, BROWN SUGAR AND MAPLE",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Breakfast Cereals - Ready to Eat
91,278,"CHOCOLATE CHIP COOKIE DOUGH CHUNKS OF REAL CHOCOLATE CHIP COOKIE DOUGH AND RICH FUDGE CHUNKS IN FLAVORED VANILLA ICE CREAM, CHOCOLATE CHIP COOKIE DOUGH",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
92,279,"STRAWBERRIES & CREAM OLD FASHIONED ICE CREAM, STRAWBERRIES & CREAM",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Frozen)
93,280,"VANILLA FLAVORED OLD FASHIONED FROZEN CUSTARD, VANILLA",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Frozen)
94,281,"TACO SEASONING MIX, TACO",Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Seasonings/Marinades - Prepared/Processed
95,282,GREEN CHILE SAUCE,Food/Beverage,Seasonings/Preservatives/Extracts,Seasonings/Preservatives/Extracts,Seasonings/Marinades - Prepared/Processed
96,285,SWEET MULTIGRAIN ROLLS,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
97,287,RAW ALMONDS,Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (Perishable),Tree Nuts,Tree Nuts - Unprepared/Unprocessed (Perishable)
98,289,GUMMY BRITEWORMS,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
99,290,GUMMY BEARS,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
100,291,GUMMY WATERMELON RINGS,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
101,11801,"QUESO FRESCO PART SKIM MILK CHEESE, QUESO FRESCO",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,
102,11806,"EXTRA BUTTER MICROWAVE PREMIUM POPCORN, EXTRA BUTTER",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable)
103,11807,"HOMESTYLE MICROWAVE PREMIUM POPCORN, HOMESTYLE",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable)
104,11808,"MOVIE THEATER BUTTER MICROWAVE PREMIUM POPCORN, MOVIE THEATER BUTTER",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable)
105,11815,"DARK CHOCOLATE COVERED PEANUTS, DARK CHOCOLATE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
106,11816,"GEMS, MILK CHOCOLATE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
107,11817,"DARK CHOCOLATES WITH CRISPY QUINOA, DARK CHOCOLATES",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
108,11818,"STRAWBERRY ALMOND MILK GREEK STYLE YOGURT, STRAWBERRY",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurts,
109,11819,"CLASSIC CHEESE RAVIOLI, CLASSIC CHEESE",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Frozen)
110,11820,"CRISPY MARSHMALLOW GOODIES, ORIGINAL",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
111,11821,"PEPPERMINT BARK ICE CREAM, PEPPERMINT BARK",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
112,11823,"SOUR CREAM 'N ONION THIN & CRISPY POTATO CHIPS, SOUR CREAM 'N ONION",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable)
113,11825,"CARAMEL APPLE SNACK BITES WITH PEANUTS, CARAMEL BITS, COOKIES & APPLE CHIPS, CARAMEL APPLE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
114,11826,"CANDY APPLE FUDGE COATED PRETZELS, CANDY APPLE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
115,11827,"PUMPKIN SPICE WITH COOKIE PIECES, OATS & PUMPKIN SEED KERNELS SNACK BITES, PUMPKIN SPICE",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Cereal/Granola Bars
116,11832,"THE ORIGINAL CIRCUS ANIMAL COOKIES, THE ORIGINAL",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
117,11833,"MILK CHOCOLATE PRETZEL CRUNCHERS PRETZELS WITH CARAMEL, MILK CHOCOLATE AND PEANUTS, MILK CHOCOLATE",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
118,11834,"MAINE LOBSTER & CHEESE RAVIOLI, MAINE LOBSTER & CHEESE",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Frozen)
119,11835,"CARAMELS FLAVORED MILK MAID CANDY, CARAMELS",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
120,11836,"PRETZELS WITH WHITE CHOCOLATE, CARAMEL AND CINNAMON CRUNCHERS, CHOCOLATE, CARAMEL AND CINNAMON",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
121,11837,GLUTEN FREE PRETZEL TWISTS,Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
122,11838,"TOMATO JUICE FROM CONCENTRATE, TOMATO",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink
123,11840,"CRUNCHY CORN CHEESE CURLS, CHEESE",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,
124,11842,"PARMESAN POWER-FULL SNACK CHEESE, PARMESAN",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,
125,11844,"THIN & CRISPY LIGHTLY SEASONED CANTINA STYLE TORTILLA CHIPS, CANTINA STYLE",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable)
126,11845,"CHILI GARLIC LIGHTLY SEASONED TORTILLA CHIPS, CHILI GARLIC",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Ready to Eat,Prepared/Preserved Foods - Ready to Eat (Shelf Stable)
127,11846,"GLUTEN FREE PASTA, FUSILLI NO. 48",Food/Beverage,Cereal/Grain/Pulse Products,Pasta/Noodles,Pasta/Noodles - Unprepared/Unprocessed (Shelf Stable)
128,11848,"VIDALIA ONION & PEACH RELISH, VIDALIA ONION & PEACH",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable)
129,11849,FARMER CHEESE,Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,
130,11850,"ALMOND CHOCOLATE CHIP PROTEIN BAR, ALMOND CHOCOLATE CHIP",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
131,11851,"COCONUT MACAROONS, COCONUT",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Non Chocolate
132,11855,"REAL FOOD BAR, CHOCOLATE PEANUT BUTTER",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
133,11856,"PUMPKIN SEED DARK BARK 80% DARK CHOCOLATE SNACKING THINS, PUMPKIN SEED",Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
134,11861,"RICOTTA PART-SKIM CHEESE, RICOTTA",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,
135,11865,"SOURDOUGH FLAVORED PRETZEL NUGGETS, SOURDOUGH",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Biscuits/Cookies (Shelf Stable)
136,11867,"APPLE STREUSEL GRANOLA WITH CINNAMON & SPICE, CINNAMON & SPICE",Food/Beverage,Cereal/Grain/Pulse Products,Breakfast Cereals,Cereal/Granola Bars
137,11871,"PEPPER JACK MONTEREY JACK CHEESE CRACKER CUTS WITH JALAPENO PEPPERS, PEPPER JACK",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Cheese,
138,11883,"BLUEBERRY FLAVOR YOGURT PROTEIN SHAKE SMOOTHIE, BLUEBERRY",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurts,
139,11884,"STRAWBERRY BANANA FLAVOR SMOOTHIE YOGURT PROTEIN SHAKE, STRAWBERRY BANANA",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurts,
140,11888,"BLUEBERRY YOGURT, TOASTED ALMOND BITS, ROLLED OATS & CHIA SEEDS, BLUEBERRY",Food/Beverage,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Yogurt (Perishable)
141,11891,"BANANA & CINNAMON EMPOWER WHOLE PLANT SMOOTHIE WITH BLACK SOYBEAN, QUINOA & FLAXSEED, BANANA & CINNAMON",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Soup - Ready to Eat (Shelf Stable)
142,11898,DICED JALAPENOS,Food/Beverage,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Vegetables - Prepared/Processed,Vegetables - Prepared/Processed (Shelf Stable)
143,11907,"GOLDEN SESAME OLD FASHIONED HAMBURGER BUNS, GOLDEN SESAME",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
144,11909,CHOCOLATE CANDIES,Food/Beverage,Confectionery/Sugar Sweetening Products,Confectionery/Sugar Sweetening Products,Confectionery - Chocolate
145,11914,"WHITE GRAPE PEACH FLAVORED JUICE COCKTAIL BLEND FROM CONCENTRATE, WHITE GRAPE PEACH",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink
146,11915,"ORIGINAL TARTAR SAUCE, ORIGINAL",Food/Beverage,Prepared/Preserved Foods,Prepared/Preserved Foods - Liquid/Sauce/Soup,Sauce - Ready to Eat (Shelf Stable)
147,11916,"100% ORANGE JUICE FROM CONCENTRATE, ORANGE",Food/Beverage,Beverages,Non Alcoholic Beverages - Ready to Drink,Fruit/Vegetable Juice - Ready to Drink
148,11917,"SPROUTED 7 WHOLE GRAINS REDUCED SODIUM BREAD, 7 WHOLE GRAINS",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
149,11918,"SPROUTED 7 WHOLE GRAINS BREAD, 7 WHOLE GRAINS",Food/Beverage,Bread/Bakery Products,Bread/Bakery Products,Bread (Perishable)
