id,segment,family,class,brick,product_name
104,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,old fashioned rolled oats old fashioned
105,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,crumb cakes raspberry
106,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,milk chocolate dark chocolate caramel milk chocolate silky smooth promises gifts milk chocolate dark chocolate caramel milk chocolate
107,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,limonata sparkling lemon beverage with lemon juice from concentrate with mint extract limonata
108,food beverage,bread bakery products,bread bakery products,bread perishable,large white bread large white
109,food beverage,bread bakery products,bread bakery products,bread perishable,santa cruz sourdough twin pack round bread loaves santa cruz sourdough
110,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,organic rip s power up bowl original hot cereal original
111,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,sauce ready to eat shelf stable,thick chunky medium salsa medium
112,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,vanilla bean ice cream vanilla bean
113,food beverage,beverages,non alcoholic beverages ready to drink,water ready to drink,sparkling water with cherry essence cherry
114,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,maple instant oatmeal maple
115,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,prune juice prune
116,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,lavender shortbread lavender
117,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,caffeine free grape soda grape
118,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,dr wow soda
119,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,cherry punch soft chewy ropes candy cherry punch
120,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,cherry raspberry watermelon orange pineapple hard candy cherry raspberry watermelon orange pineapple
121,food beverage,bread bakery products,bread bakery products,bread perishable,wheat dinner rolls wheat
122,food beverage,fruits vegetables nuts seeds prepared processed,nuts seeds prepared processed,nuts seeds prepared processed shelf stable,energy blend edamame flavor infused cranberries almonds pumpkin seeds energy blend
123,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product bow ties
124,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,organic edamame spaghetti
125,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,organic edamame fettuccine
126,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,the original cake cinnamon crumble
127,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,dr zevia zero calorie soda dr zevia
128,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,black cherry caffeine free zero calorie soda black cherry
129,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,raspberry lime zero calorie energy drink raspberry lime
130,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,grapefruit zero calorie energy drink grapefruit
131,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,cola caffeine free zero calorie soda cola
132,food beverage,cereal grain pulse products,breakfast cereals,cereal granola bars,peanut butter chocolate chip flavored chewy granola bars peanut butter chocolate chip
133,food beverage,cereal grain pulse products,breakfast cereals,cereal granola bars,oats honey crunchy granola bars oats honey
134,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,sauce ready to eat shelf stable,medium pico de gallo salsa medium pico de gallo
135,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,penne
136,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,cajun shake seasoning cajun shake
137,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,honey bacon bbq injectable marinade honey bacon bbq
138,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,teriyaki fusion injectable marinade teriyaki fusion
139,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,linguine
140,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,green yellow pasta tagliatelle
141,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,pappardelle
142,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,premium apple juice apple
143,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,sea salt pure milk chocolate sea salt
144,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,strawberry fruit chews strawberry
145,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,original vegan pound cake original
146,food beverage,beverages,non alcoholic beverages ready to drink,water ready to drink,orange passion fruit flavored sparkling water orange passion fruit
147,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,milk chocolate truffles milk chocolate
148,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,dark chocolate truffles dark chocolate
149,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,mango nectar juice blend of mango puree and apple juice concentrate with added ingredients mango nectar
150,food beverage,bread bakery products,bread bakery products,bread perishable,santa cruz sourdough bread santa cruz sourdough
151,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,cherry cheese danishes cherry cheese
152,food beverage,bread bakery products,bread bakery products,bread perishable,extra sourdough stubby bread
153,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,honey grahams sweetened whole wheat and corn cereal honey grahams
154,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,golden honey o s cereal golden honey o s
155,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,honey oat blenders cereal honey oat blenders
156,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,chocolate cupcakes chocolate
157,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,seasonal mocha cakes with mocha flavored filling and dark chocolate coating seasonal mocha
158,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,caramel butter pecan nut flavored ice cream with caramel revel pecans caramel butter pecan
159,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,cinnamon rolls with cream cheese frosting cinnamon
160,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,chunky mixed up garlic seasoning chunky
161,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,white cranberry peach flavored juice cocktail in a blend with grape juice from concentrate white cranberry peach
162,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,chocolate baubles
163,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,no pulp pasteurized orange juice from concentrate orange
164,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,chocolate chip reduced fat ice cream chocolate chip
165,food beverage,beverages,non alcoholic beverages ready to drink,soft drinks ready to drink,grape caffeine free zero calorie soda grape
166,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,seasoning all purpose bbq seasoning
167,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,rotini
168,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,fettuccine
169,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,all american cake
170,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,grape juice cocktail blend from concentrate grape
171,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,frosted yellow spring cupcakes with creamy filling frosted
172,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,frosted orange flavored cake with creamy filling cupcakes frosted orange
173,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,raspberry iced cake with creamy filling raspberry
174,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,red tart cherry an apple and cherry juice blend from concentrate red tart cherry
175,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,natural peppermint candy canes natural peppermint
176,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,salted caramel ice cream salted caramel
177,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,juice white grape from concentrate white grape
178,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,creme filled candy holiday egg with cookie pieces creme filled
179,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,coconut cream cacao dark chocolate caramelized coconut mylk coconut cream
180,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,treasures cereal marshmallow
181,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,light ice cream chocolate
182,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,blueberry crumb loaf cake blueberry crumb
183,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,organic banana walnut oats banana walnut
184,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,cinnamon roll cinnamon
185,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,strawberry golden sponge cake with creamy filling strawberry
186,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,iced lemon pound cake slice iced lemon
187,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,carrot cake mini donuts carrot cake
188,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,chocolate cake layers with creamy filling chocolate with creamy filling
189,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product rigatoni
190,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,sauce ready to eat shelf stable,medium salsa medium
191,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,sauce ready to eat shelf stable,smoky chipotle salsa smoky chipotle
192,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,sweetened frosted flakes of corn cereal frosted flakes
193,food beverage,beverages,non alcoholic beverages ready to drink,water ready to drink,black berry flavored sparkling water black berry
194,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,milk liquid perishable,organic pasture raised lowfat milk
195,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,himalayan fine ice salt
196,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,red hots soft cinnamon flavored candy sticks red hots cinnamon
197,food beverage,bread bakery products,bread bakery products,cakes pastries perishable,chocolate cake chocolate
198,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,sour watermelon flavored marshmallow chicks sour watermelon
199,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,milk liquid perishable,midnight chocolate whole milk midnight chocolate
200,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,apple juice from concentrate apple
201,food beverage,bread bakery products,bread bakery products,bread perishable,enriched hot dog buns
202,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,assorted fruit flavored snacks assorted
203,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,enriched macaroni product rigatoni no
204,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,milk liquid perishable,organic grassfed vitamin d milk
205,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,cereal
206,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,fruit punch apple pear and grape juice from concentrate fruit punch
207,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,milk liquid perishable,organic grassfed reduced fat milk
208,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,milk liquid perishable,organic grassfed reduced fat milk
209,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,strawberries cream white chocolate truffles strawberries cream white chocolate
210,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,milk chocolate truffles milk chocolate
211,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,assorted chocolate truffles milk chocolate dark chocolate white chocolate
212,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,milk chocolate truffles milk chocolate
213,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,dark chocolate truffles dark chocolate
214,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,white chocolate truffles white
215,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,intense dark salted caramel cascade dark chocolate with crunchy caramel pieces and sea salt intense dark salted caramel
216,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,iced lemon shortbread cookies iced lemon
217,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,sauce ready to eat shelf stable,tomato ketchup tomato
218,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,sauce ready to eat shelf stable,tomato ketchup tomato
219,food beverage,prepared preserved foods,prepared preserved foods liquid sauce soup,sauce ready to eat shelf stable,tomato ketchup tomato
220,food beverage,beverages,non alcoholic beverages ready to drink,water ready to drink,crisp apple flavored sparkling water crisp apple
221,food beverage,beverages,coffee coffee substitutes,coffee ground beans,medium roast caramel truffle arabic coffee k cup packs caramel truffle
222,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,vanilla cookies with icing and candies valentine cookie kit vanilla
223,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,milk liquid perishable,very berry strawberry whole milk very berry strawberry
224,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,cinnamon graham crackers
225,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,cherry tart montmorency juice drink cherry
226,food beverage,seasonings preservatives extracts,seasonings preservatives extracts,seasonings marinades prepared processed,iodized salt
227,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery non chocolate,sour bunny gummies candy sour bunny gummies
228,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,cranberry apple flavored juice cocktail from concentrate cranberry apple
229,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,cranberry juice cocktail from concentrate cranberry
230,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,juice beverage orange carrot
231,food beverage,confectionery sugar sweetening products,confectionery sugar sweetening products,confectionery chocolate,chocolate malted milk balls chocolate
232,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,vanilla organic ice cream vanilla
233,food beverage,beverages,non alcoholic beverages ready to drink,fruit vegetable juice ready to drink,apple mandarin chai juice
234,food beverage,bread bakery products,bread bakery products,biscuits cookies shelf stable,double chocolate recipe organic wheat flour cocoa cookies with real organic chocolate chip cookies chocolate chip
235,food beverage,cereal grain pulse products,pasta noodles,pasta noodles unprepared unprocessed shelf stable,macaroni product casarecce
236,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,vanilla ice cream vanilla
237,food beverage,cereal grain pulse products,breakfast cereals,breakfast cereals ready to eat,real fruit instant oatmeal blueberry cream oatmeal
238,food beverage,fruits vegetables nuts seeds prepared processed,vegetables prepared processed,vegetables prepared processed shelf stable,whole mushrooms
239,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,cookies cream reduced ice cream cookies cream
240,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,chocolate reduced fat ice cream chocolate
241,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,fudge swirl reduced fat ice cream fudge swirl
242,food beverage,milk butter cream yogurts cheese eggs substitutes,milk butter cream yogurts cheese eggs substitutes,ice cream frozen desserts frozen,neapolitan chocolate strawberry flavored vanilla reduced fat ice cream neapolitan
